Sample in Buffer,Sample in Window,TRIGGER,ram_wr_en,ram_wr_we,ram_rd_en,rd_flag,ram_wr_addr[5:0],ram_wr_data[7:0],ram_rd_addr[5:0],ram_rd_data[7:0]
416,416,0,1,1,1,1,63,63,31,30
417,417,0,1,1,1,1,0,0,32,31
418,418,0,1,1,1,1,1,1,33,32
419,419,0,1,1,1,1,2,2,34,33
420,420,0,1,1,1,1,3,3,35,34
421,421,0,1,1,1,1,4,4,36,35
422,422,0,1,1,1,1,5,5,37,36
423,423,0,1,1,1,1,6,6,38,37
424,424,0,1,1,1,1,7,7,39,38
425,425,0,1,1,1,1,8,8,40,39
426,426,0,1,1,1,1,9,9,41,40
427,427,0,1,1,1,1,10,10,42,41
428,428,0,1,1,1,1,11,11,43,42
429,429,0,1,1,1,1,12,12,44,43
430,430,0,1,1,1,1,13,13,45,44
431,431,0,1,1,1,1,14,14,46,45
432,432,0,1,1,1,1,15,15,47,46
433,433,0,1,1,1,1,16,16,48,47
434,434,0,1,1,1,1,17,17,49,48
435,435,0,1,1,1,1,18,18,50,49
436,436,0,1,1,1,1,19,19,51,50
437,437,0,1,1,1,1,20,20,52,51
438,438,0,1,1,1,1,21,21,53,52
439,439,0,1,1,1,1,22,22,54,53
440,440,0,1,1,1,1,23,23,55,54
441,441,0,1,1,1,1,24,24,56,55
442,442,0,1,1,1,1,25,25,57,56
443,443,0,1,1,1,1,26,26,58,57
444,444,0,1,1,1,1,27,27,59,58
445,445,0,1,1,1,1,28,28,60,59
446,446,0,1,1,1,1,29,29,61,60
447,447,0,1,1,1,1,30,30,62,61
448,448,0,1,1,1,1,31,31,63,62
449,449,0,1,1,1,1,32,32,0,63
450,450,0,1,1,1,1,33,33,1,0
451,451,0,1,1,1,1,34,34,2,1
452,452,0,1,1,1,1,35,35,3,2
453,453,0,1,1,1,1,36,36,4,3
454,454,0,1,1,1,1,37,37,5,4
455,455,0,1,1,1,1,38,38,6,5
456,456,0,1,1,1,1,39,39,7,6
457,457,0,1,1,1,1,40,40,8,7
458,458,0,1,1,1,1,41,41,9,8
459,459,0,1,1,1,1,42,42,10,9
460,460,0,1,1,1,1,43,43,11,10
461,461,0,1,1,1,1,44,44,12,11
462,462,0,1,1,1,1,45,45,13,12
463,463,0,1,1,1,1,46,46,14,13
